iter	Logloss
0	0.6845319366
1	0.6753271484
2	0.668188324
3	0.6572870636
4	0.6517638397
5	0.6474573517
6	0.6415270233
7	0.6352788544
8	0.6325534821
9	0.6271976089
10	0.6200411987
11	0.610421524
12	0.6025513077
13	0.5976000977
14	0.5932871246
15	0.5883235931
16	0.583540802
17	0.576384964
18	0.5724996185
19	0.569524231
20	0.56641922
21	0.5627490616
22	0.5595963669
23	0.5543786621
24	0.551728096
25	0.5491274261
26	0.5447509766
27	0.5412421036
28	0.5391398621
29	0.5357680511
30	0.5327565384
31	0.5304440689
32	0.5260189056
33	0.5216996002
34	0.5166532898
35	0.5112241364
36	0.5094795227
37	0.5059088898
38	0.502820282
39	0.4962719345
40	0.4947903824
41	0.4928210831
42	0.4862380219
43	0.4834361267
44	0.4795555115
45	0.4738541031
46	0.4733540726
47	0.4684409332
48	0.4650534821
49	0.4634873199
50	0.4602967072
51	0.4573622513
52	0.4540433121
53	0.4513111877
54	0.4455991745
55	0.4420798111
56	0.4399901199
57	0.4383016205
58	0.4336152267
59	0.4319350433
60	0.4298825073
61	0.4288451385
62	0.4275901794
63	0.4240960693
64	0.4182962036
65	0.4146944809
66	0.4115081787
67	0.4084725952
68	0.4050627136
69	0.4029800415
70	0.400694809
71	0.3997400665
72	0.3967703247
73	0.3948135757
74	0.391079216
75	0.3855755615
76	0.3831282806
77	0.3794799423
78	0.3780296707
79	0.3762831879
80	0.372602005
81	0.3710291672
82	0.3688310242
83	0.3673869705
84	0.3661710358
85	0.3653884125
86	0.362366333
87	0.357544899
88	0.3541368484
89	0.3521124268
90	0.3508281708
91	0.3499562836
92	0.3458016586
93	0.3440942001
94	0.3430857849
95	0.3419945145
96	0.3391641235
97	0.3384867859
98	0.3354735947
99	0.3333970642
