iter	Passed	Remaining
0	48	4793
1	49	2406
2	50	1644
3	51	1232
4	51	983
5	52	816
6	52	697
7	52	607
8	53	537
9	53	480
10	53	432
11	53	392
12	53	359
13	53	330
14	53	305
15	53	283
16	53	263
17	54	246
18	54	230
19	54	217
20	54	204
21	54	192
22	54	182
23	54	173
24	54	164
25	54	156
26	54	148
27	55	141
28	55	134
29	55	128
30	55	123
31	55	117
32	55	112
33	55	107
34	55	103
35	55	99
36	55	95
37	55	91
38	55	87
39	56	84
40	56	80
41	56	77
42	56	74
43	56	71
44	56	69
45	56	66
46	56	63
47	56	61
48	56	59
49	56	56
50	57	54
51	57	52
52	57	50
53	57	48
54	57	47
55	57	45
56	57	43
57	57	41
58	57	40
59	57	38
60	58	37
61	58	35
62	58	34
63	58	32
64	58	31
65	58	30
66	58	28
67	58	27
68	58	26
69	58	25
70	58	24
71	59	22
72	59	21
73	59	20
74	59	19
75	59	18
76	59	17
77	59	16
78	59	15
79	59	14
80	59	14
81	59	13
82	60	12
83	60	11
84	60	10
85	60	9
86	60	9
87	60	8
88	60	7
89	60	6
90	60	6
91	60	5
92	60	4
93	60	3
94	61	3
95	61	2
96	61	1
97	61	1
98	61	0
99	61	0
